State,District,Name,Cluster,Cluster_Label,PC1,PC2,Anomaly_Flag,Anomaly_Score,Sex_Ratio,Child_Pop_Pct,SC_Pop_Pct,ST_Pop_Pct,Literacy_Rate,Female_Literacy_Rate,Gender_Literacy_Gap,Worker_Participation,Female_Worker_Part,Agri_Worker_Pct,Main_Worker_Pct
28,534,Karimnagar,3,Cluster 3,-0.3312,1.4939,1,0.1073,1007.7993407060826,8.899074721636621,18.795191762027542,2.826731888009037,64.14797791766563,54.79264169854184,18.852661329364857,49.699001845472345,43.64645372728332,49.51341881362001,84.73631263960169
28,535,Medak,3,Cluster 3,-1.1075,0.9227,1,0.1292,991.6140850803988,12.118961338323295,17.7347815308009,5.57101732509409,61.41524598742912,51.37099567457345,20.060272952956865,47.54586442171004,40.01495108782738,52.60431437183254,82.89360097018242
28,536,Hyderabad,1,Cluster 1,2.8634,-0.5014,1,0.0919,953.5181997200996,11.89671756536302,6.287260769660512,1.2410091691702658,83.24671859425358,79.34545309154967,7.642606327164614,35.84025452644888,19.10442302057205,2.224868516667056,77.5548946895097
28,537,Rangareddy,1,Cluster 1,1.4487,0.1344,1,0.1479,961.0238103700544,11.953992086832262,12.310248887004292,4.130030144951395,75.86524397945007,69.39554364741822,12.71227852667893,41.46092852189677,27.243248824127907,23.179185803054352,83.54789766119418
28,538,Mahbubnagar,3,Cluster 3,-2.0621,1.4675,1,0.0637,976.7146283675366,13.008298980416615,17.4919590982347,8.987576695744515,55.04132681452539,44.717794167582255,20.48931295259752,51.38136228025072,47.05953435511689,62.993295081250864,87.18569642943748
28,539,Nalgonda,3,Cluster 3,-0.8357,1.5451,1,0.1116,982.5346692639728,10.655068821480338,18.26941514998385,11.301249222872332,64.19542814832116,54.190593382554006,19.907877992595523,49.92228006749581,44.259608093985264,57.72481143347306,85.74524901920142
28,540,Warangal,3,Cluster 3,-0.5222,1.5915,1,0.1158,996.59747362701,9.71275781648568,17.53989095182567,15.107317250929231,65.11376019736345,55.690057254441605,18.89348074599713,48.5585222924714,42.47596667987988,56.34070195907144,84.5538517461034
28,541,Khammam,3,Cluster 3,-0.436,2.2428,1,0.0837,1011.0669538486314,10.078109081029682,16.54754287062491,27.367312868873263,64.80889288905992,57.44124955850447,14.861626390148018,50.40670343930192,43.17148541434688,62.43746728867241,86.22819422124701
28,542,Srikakulam,3,Cluster 3,-0.9625,1.1875,1,0.1179,1014.6362404582712,10.39678681698219,9.45812866198022,6.14543078834263,61.73961438880762,52.08058658327983,19.529886050981865,47.73339193241573,38.47614472416144,45.56122354079089,72.5608546309041
28,543,Vizianagaram,3,Cluster 3,-1.0391,1.603,1,0.0956,1018.5281327137774,10.307514606687898,10.56646394884311,10.047285659811113,58.89185792201603,49.86521265404268,18.283378578473545,49.391121419985886,40.46273997313602,53.2277397703897,82.31833168964093
28,544,Visakhapatnam,3,Cluster 3,0.2405,0.8666,1,0.1336,1005.9698631545974,10.539648519119403,7.679272006710501,14.415270257766474,66.90978163681723,59.34269590735383,15.22068053635465,44.04707605412683,30.2468444410156,34.99340433964291,78.37216033407431
28,545,East Godavari,3,Cluster 3,1.529,0.3395,1,0.1164,1005.80615234223,10.128521916475112,18.339439566528583,4.13625837553761,70.99320372294883,67.51633947619166,6.98896418924781,40.620115724824494,21.196637942775077,49.22120418535584,83.49490681722764
